Empleado,Productividad,Calidad,Eficiencia,Trabajo_en_equipo,Cumplimiento
E01,53,73,71,71,71
E02,46,75,69,73,69
E03,51,78,70,75,70
E04,52,80,72,78,74
E05,51,78,67,75,72
E06,55,80,69,76,77
E07,56,79,71,80,76
E08,55,79,72,74,78
E09,57,83,76,77,76
E10,61,81,73,76,75
E11,66,81,77,79,78
E12,67,82,81,78,79
E13,64,82,77,82,85
E14,69,86,81,82,80
E15,69,86,78,79,84
E16,69,86,79,80,80
E17,74,86,79,85,85
E18,71,87,80,85,84
E19,77,90,85,90,85
E20,76,88,80,92,85
E21,77,90,85,87,85
E22,79,88,84,84,87
E23,79,91,85,84,88
E24,80,90,83,89,86
E25,81,89,87,87,86
E26,82,93,86,89,90
E27,86,93,89,90,94
E28,92,94,90,91,92
E29,87,95,93,95,92
E30,93,96,91,93,94
